suspect_id,first_name,last_name,gender,age,national_id,known_addresses,criminal_record_summary,biometric_data,behavior_patterns
SUSP-00440,Jane,Doe,Female,25,NID001439,"Rwamagana, Eastern",Repeat offender,"{""facial_features"": {""eye_distance"": 69.45, ""nose_width"": 33.22}, ""fingerprint_hash"": ""fp_338528""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00441,Alex,Smith,Male,57,NID001440,"Huye, Southern",Gang activity,"{""facial_features"": {""eye_distance"": 64.85, ""nose_width"": 30.88}, ""fingerprint_hash"": ""fp_309267""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00442,Chris,Garcia,Female,24,NID001441,"Huye, Southern",First time offense,"{""facial_features"": {""eye_distance"": 55.35, ""nose_width"": 39.67}, ""fingerprint_hash"": ""fp_513684""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00443,John,Lee,Male,23,NID001442,"Gasabo, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 68.42, ""nose_width"": 30.12}, ""fingerprint_hash"": ""fp_851390""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00444,John,Brown,Male,21,NID001443,"Rwamagana, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 67.06, ""nose_width"": 38.12}, ""fingerprint_hash"": ""fp_355284""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00445,Alex,Doe,Male,18,NID001444,"Kicukiro, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 61.26, ""nose_width"": 44.02}, ""fingerprint_hash"": ""fp_873619""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00446,Jane,Smith,Male,32,NID001445,"Nyarugenge, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 69.98, ""nose_width"": 40.4}, ""fingerprint_hash"": ""fp_918282""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00447,Chris,Lee,Female,48,NID001446,"Rwamagana, Eastern",Gang activity,"{""facial_features"": {""eye_distance"": 58.74, ""nose_width"": 37.75}, ""fingerprint_hash"": ""fp_146808""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00448,Alex,Doe,Female,42,NID001447,"Rwamagana, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 59.24, ""nose_width"": 33.43}, ""fingerprint_hash"": ""fp_535960""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00449,John,Garcia,Female,50,NID001448,"Musanze, Northern",Gang activity,"{""facial_features"": {""eye_distance"": 67.29, ""nose_width"": 44.27}, ""fingerprint_hash"": ""fp_897692""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00450,Pat,Garcia,Male,52,NID001449,"Nyanza, Southern",Repeat offender,"{""facial_features"": {""eye_distance"": 56.65, ""nose_width"": 36.22}, ""fingerprint_hash"": ""fp_212127""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00451,Jane,Lee,Male,22,NID001450,"Kicukiro, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 66.33, ""nose_width"": 35.21}, ""fingerprint_hash"": ""fp_562624""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00452,Pat,Garcia,Female,22,NID001451,"Rwamagana, Eastern",Repeat offender,"{""facial_features"": {""eye_distance"": 63.58, ""nose_width"": 35.49}, ""fingerprint_hash"": ""fp_252163""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00453,Alex,Brown,Female,53,NID001452,"Gasabo, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 69.94, ""nose_width"": 42.44}, ""fingerprint_hash"": ""fp_328133""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00454,John,Lee,Female,34,NID001453,"Musanze, Northern",Repeat offender,"{""facial_features"": {""eye_distance"": 63.87, ""nose_width"": 39.0}, ""fingerprint_hash"": ""fp_254470""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00455,Chris,Garcia,Female,31,NID001454,"Gasabo, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 66.91, ""nose_width"": 42.06}, ""fingerprint_hash"": ""fp_350125""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00456,Pat,Smith,Male,46,NID001455,"Gasabo, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 55.49, ""nose_width"": 39.0}, ""fingerprint_hash"": ""fp_833898""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00457,Chris,Garcia,Female,25,NID001456,"Kicukiro, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 65.58, ""nose_width"": 42.36}, ""fingerprint_hash"": ""fp_449896""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00458,John,Brown,Male,51,NID001457,"Musanze, Northern",Repeat offender,"{""facial_features"": {""eye_distance"": 65.01, ""nose_width"": 30.2}, ""fingerprint_hash"": ""fp_890927""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00459,Pat,Doe,Female,57,NID001458,"Huye, Southern",Repeat offender,"{""facial_features"": {""eye_distance"": 58.38, ""nose_width"": 32.27}, ""fingerprint_hash"": ""fp_764629""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00460,Chris,Doe,Male,18,NID001459,"Nyarugenge, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 61.36, ""nose_width"": 36.2}, ""fingerprint_hash"": ""fp_129596""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00461,Chris,Garcia,Female,46,NID001460,"Nyagatare, Eastern",Gang activity,"{""facial_features"": {""eye_distance"": 63.62, ""nose_width"": 34.6}, ""fingerprint_hash"": ""fp_972554""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00462,Pat,Doe,Female,53,NID001461,"Kicukiro, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 65.1, ""nose_width"": 42.61}, ""fingerprint_hash"": ""fp_582292""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00463,John,Garcia,Male,54,NID001462,"Nyagatare, Eastern",Repeat offender,"{""facial_features"": {""eye_distance"": 59.79, ""nose_width"": 31.53}, ""fingerprint_hash"": ""fp_900682""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00464,Chris,Brown,Male,46,NID001463,"Musanze, Northern",Gang activity,"{""facial_features"": {""eye_distance"": 55.7, ""nose_width"": 43.99}, ""fingerprint_hash"": ""fp_746073""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00465,Alex,Doe,Female,22,NID001464,"Gasabo, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 56.17, ""nose_width"": 34.94}, ""fingerprint_hash"": ""fp_563770""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00466,Pat,Smith,Male,49,NID001465,"Rwamagana, Eastern",Repeat offender,"{""facial_features"": {""eye_distance"": 58.74, ""nose_width"": 31.73}, ""fingerprint_hash"": ""fp_128683""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00467,Jane,Garcia,Female,41,NID001466,"Nyarugenge, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 67.98, ""nose_width"": 42.42}, ""fingerprint_hash"": ""fp_368426""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00468,Jane,Doe,Male,36,NID001467,"Musanze, Northern",Repeat offender,"{""facial_features"": {""eye_distance"": 61.21, ""nose_width"": 34.93}, ""fingerprint_hash"": ""fp_939577""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00469,John,Brown,Female,29,NID001468,"Musanze, Northern",Gang activity,"{""facial_features"": {""eye_distance"": 61.42, ""nose_width"": 31.26}, ""fingerprint_hash"": ""fp_803200""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00470,Alex,Brown,Female,18,NID001469,"Huye, Southern",Repeat offender,"{""facial_features"": {""eye_distance"": 65.81, ""nose_width"": 43.74}, ""fingerprint_hash"": ""fp_920347""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00471,Chris,Smith,Female,24,NID001470,"Huye, Southern",Repeat offender,"{""facial_features"": {""eye_distance"": 55.47, ""nose_width"": 43.11}, ""fingerprint_hash"": ""fp_386542""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00472,Jane,Brown,Female,34,NID001471,"Nyanza, Southern",First time offense,"{""facial_features"": {""eye_distance"": 59.31, ""nose_width"": 40.29}, ""fingerprint_hash"": ""fp_715241""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00473,John,Brown,Female,51,NID001472,"Rubavu, Western",Gang activity,"{""facial_features"": {""eye_distance"": 67.39, ""nose_width"": 40.2}, ""fingerprint_hash"": ""fp_294843""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00474,Alex,Doe,Female,24,NID001473,"Gasabo, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 61.92, ""nose_width"": 31.86}, ""fingerprint_hash"": ""fp_427923""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00475,Alex,Garcia,Female,34,NID001474,"Gasabo, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 55.52, ""nose_width"": 36.79}, ""fingerprint_hash"": ""fp_689012""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00476,John,Lee,Female,20,NID001475,"Huye, Southern",Repeat offender,"{""facial_features"": {""eye_distance"": 57.47, ""nose_width"": 40.48}, ""fingerprint_hash"": ""fp_876640""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00477,John,Brown,Male,46,NID001476,"Gasabo, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 64.71, ""nose_width"": 38.77}, ""fingerprint_hash"": ""fp_638610""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00478,Chris,Brown,Male,39,NID001477,"Gasabo, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 55.97, ""nose_width"": 36.21}, ""fingerprint_hash"": ""fp_717956""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00479,John,Lee,Male,55,NID001478,"Rubavu, Western",Gang activity,"{""facial_features"": {""eye_distance"": 63.57, ""nose_width"": 44.19}, ""fingerprint_hash"": ""fp_693257""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00480,Chris,Brown,Female,46,NID001479,"Nyarugenge, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 57.5, ""nose_width"": 34.88}, ""fingerprint_hash"": ""fp_126417""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00481,Chris,Doe,Female,59,NID001480,"Rwamagana, Eastern",Repeat offender,"{""facial_features"": {""eye_distance"": 62.05, ""nose_width"": 31.91}, ""fingerprint_hash"": ""fp_821061""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00482,Pat,Doe,Female,22,NID001481,"Nyagatare, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 68.02, ""nose_width"": 40.59}, ""fingerprint_hash"": ""fp_752876""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00483,Alex,Lee,Male,47,NID001482,"Kicukiro, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 67.18, ""nose_width"": 30.55}, ""fingerprint_hash"": ""fp_932862""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00484,Alex,Brown,Male,40,NID001483,"Musanze, Northern",Gang activity,"{""facial_features"": {""eye_distance"": 57.96, ""nose_width"": 32.76}, ""fingerprint_hash"": ""fp_619493""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00485,Alex,Brown,Male,38,NID001484,"Rubavu, Western",First time offense,"{""facial_features"": {""eye_distance"": 63.4, ""nose_width"": 42.63}, ""fingerprint_hash"": ""fp_805205""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00486,Pat,Garcia,Male,43,NID001485,"Musanze, Northern",Repeat offender,"{""facial_features"": {""eye_distance"": 64.42, ""nose_width"": 36.93}, ""fingerprint_hash"": ""fp_205407""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00487,Chris,Brown,Male,38,NID001486,"Musanze, Northern",First time offense,"{""facial_features"": {""eye_distance"": 55.7, ""nose_width"": 35.66}, ""fingerprint_hash"": ""fp_752418""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00488,Chris,Doe,Female,37,NID001487,"Rubavu, Western",First time offense,"{""facial_features"": {""eye_distance"": 59.51, ""nose_width"": 44.12}, ""fingerprint_hash"": ""fp_928201""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00489,John,Smith,Male,40,NID001488,"Rwamagana, Eastern",Gang activity,"{""facial_features"": {""eye_distance"": 61.87, ""nose_width"": 43.11}, ""fingerprint_hash"": ""fp_696427""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00490,Pat,Smith,Female,21,NID001489,"Rwamagana, Eastern",Repeat offender,"{""facial_features"": {""eye_distance"": 65.96, ""nose_width"": 41.51}, ""fingerprint_hash"": ""fp_245059""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00491,John,Smith,Female,38,NID001490,"Musanze, Northern",Gang activity,"{""facial_features"": {""eye_distance"": 55.83, ""nose_width"": 43.95}, ""fingerprint_hash"": ""fp_526355""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00492,Pat,Smith,Female,38,NID001491,"Nyarugenge, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 62.39, ""nose_width"": 35.12}, ""fingerprint_hash"": ""fp_473021""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00493,John,Brown,Male,18,NID001492,"Nyarugenge, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 63.07, ""nose_width"": 42.57}, ""fingerprint_hash"": ""fp_395707""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00494,Jane,Brown,Male,32,NID001493,"Gasabo, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 67.19, ""nose_width"": 42.17}, ""fingerprint_hash"": ""fp_415345""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00495,Alex,Garcia,Female,34,NID001494,"Gasabo, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 57.23, ""nose_width"": 37.34}, ""fingerprint_hash"": ""fp_830183""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00496,Alex,Brown,Male,31,NID001495,"Kicukiro, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 58.51, ""nose_width"": 41.68}, ""fingerprint_hash"": ""fp_858152""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00497,Chris,Smith,Male,36,NID001496,"Kicukiro, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 68.91, ""nose_width"": 35.04}, ""fingerprint_hash"": ""fp_397222""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00498,Jane,Lee,Female,51,NID001497,"Huye, Southern",Gang activity,"{""facial_features"": {""eye_distance"": 69.63, ""nose_width"": 44.69}, ""fingerprint_hash"": ""fp_781349""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00499,Alex,Lee,Female,23,NID001498,"Nyarugenge, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 65.38, ""nose_width"": 44.09}, ""fingerprint_hash"": ""fp_215996""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00500,Chris,Doe,Female,23,NID001499,"Nyagatare, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 56.03, ""nose_width"": 38.65}, ""fingerprint_hash"": ""fp_539761""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00501,Jane,Doe,Female,22,NID001500,"Nyanza, Southern",First time offense,"{""facial_features"": {""eye_distance"": 62.78, ""nose_width"": 38.97}, ""fingerprint_hash"": ""fp_875881""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00502,Alex,Brown,Female,24,NID001501,"Kicukiro, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 66.18, ""nose_width"": 40.45}, ""fingerprint_hash"": ""fp_632513""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00503,John,Lee,Male,50,NID001502,"Huye, Southern",Gang activity,"{""facial_features"": {""eye_distance"": 69.97, ""nose_width"": 44.74}, ""fingerprint_hash"": ""fp_333948""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00504,Pat,Smith,Female,30,NID001503,"Nyagatare, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 63.08, ""nose_width"": 44.91}, ""fingerprint_hash"": ""fp_264482""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00505,Jane,Smith,Male,18,NID001504,"Rubavu, Western",First time offense,"{""facial_features"": {""eye_distance"": 62.1, ""nose_width"": 31.16}, ""fingerprint_hash"": ""fp_130335""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00506,Chris,Smith,Male,30,NID001505,"Gasabo, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 58.55, ""nose_width"": 35.62}, ""fingerprint_hash"": ""fp_559669""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00507,Jane,Brown,Female,44,NID001506,"Gasabo, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 60.49, ""nose_width"": 40.36}, ""fingerprint_hash"": ""fp_521056""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00508,Chris,Brown,Female,24,NID001507,"Kicukiro, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 57.83, ""nose_width"": 33.84}, ""fingerprint_hash"": ""fp_558524""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00509,Jane,Garcia,Male,20,NID001508,"Huye, Southern",First time offense,"{""facial_features"": {""eye_distance"": 55.3, ""nose_width"": 38.36}, ""fingerprint_hash"": ""fp_112328""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00510,Chris,Smith,Female,42,NID001509,"Gasabo, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 68.07, ""nose_width"": 44.76}, ""fingerprint_hash"": ""fp_456656""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00511,Alex,Smith,Male,50,NID001510,"Nyarugenge, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 57.09, ""nose_width"": 37.61}, ""fingerprint_hash"": ""fp_893883""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00512,John,Brown,Female,57,NID001511,"Nyanza, Southern",Repeat offender,"{""facial_features"": {""eye_distance"": 68.17, ""nose_width"": 44.14}, ""fingerprint_hash"": ""fp_329847""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00513,Alex,Brown,Female,34,NID001512,"Rwamagana, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 55.74, ""nose_width"": 42.7}, ""fingerprint_hash"": ""fp_423949""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00514,John,Garcia,Male,31,NID001513,"Gasabo, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 58.21, ""nose_width"": 42.15}, ""fingerprint_hash"": ""fp_802568""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00515,Alex,Garcia,Male,54,NID001514,"Rubavu, Western",First time offense,"{""facial_features"": {""eye_distance"": 69.7, ""nose_width"": 33.96}, ""fingerprint_hash"": ""fp_874250""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00516,Alex,Doe,Female,40,NID001515,"Huye, Southern",First time offense,"{""facial_features"": {""eye_distance"": 65.14, ""nose_width"": 36.17}, ""fingerprint_hash"": ""fp_430585""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00517,Jane,Lee,Female,41,NID001516,"Musanze, Northern",Repeat offender,"{""facial_features"": {""eye_distance"": 57.65, ""nose_width"": 32.69}, ""fingerprint_hash"": ""fp_623953""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00518,Pat,Smith,Female,46,NID001517,"Rubavu, Western",First time offense,"{""facial_features"": {""eye_distance"": 61.25, ""nose_width"": 35.01}, ""fingerprint_hash"": ""fp_913414""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00519,Chris,Smith,Male,55,NID001518,"Rwamagana, Eastern",Repeat offender,"{""facial_features"": {""eye_distance"": 67.72, ""nose_width"": 38.31}, ""fingerprint_hash"": ""fp_915952""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00520,Chris,Garcia,Female,44,NID001519,"Huye, Southern",Gang activity,"{""facial_features"": {""eye_distance"": 63.65, ""nose_width"": 31.04}, ""fingerprint_hash"": ""fp_783858""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00521,Chris,Garcia,Female,55,NID001520,"Rwamagana, Eastern",Repeat offender,"{""facial_features"": {""eye_distance"": 65.03, ""nose_width"": 41.94}, ""fingerprint_hash"": ""fp_213106""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00522,John,Doe,Female,57,NID001521,"Rwamagana, Eastern",Gang activity,"{""facial_features"": {""eye_distance"": 60.47, ""nose_width"": 34.64}, ""fingerprint_hash"": ""fp_269102""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00523,Chris,Lee,Female,40,NID001522,"Rubavu, Western",Repeat offender,"{""facial_features"": {""eye_distance"": 59.42, ""nose_width"": 32.59}, ""fingerprint_hash"": ""fp_160691""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00524,Chris,Doe,Male,48,NID001523,"Nyanza, Southern",Repeat offender,"{""facial_features"": {""eye_distance"": 57.12, ""nose_width"": 34.82}, ""fingerprint_hash"": ""fp_752223""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00525,Jane,Lee,Male,53,NID001524,"Huye, Southern",Repeat offender,"{""facial_features"": {""eye_distance"": 63.21, ""nose_width"": 38.18}, ""fingerprint_hash"": ""fp_541125""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00526,Alex,Smith,Male,34,NID001525,"Kicukiro, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 58.62, ""nose_width"": 32.64}, ""fingerprint_hash"": ""fp_121707""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00527,Chris,Doe,Female,54,NID001526,"Huye, Southern",Repeat offender,"{""facial_features"": {""eye_distance"": 64.19, ""nose_width"": 36.17}, ""fingerprint_hash"": ""fp_656791""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00528,Pat,Garcia,Female,20,NID001527,"Kicukiro, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 69.66, ""nose_width"": 42.6}, ""fingerprint_hash"": ""fp_360263""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00529,Chris,Doe,Female,53,NID001528,"Nyarugenge, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 69.07, ""nose_width"": 33.21}, ""fingerprint_hash"": ""fp_306675""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00530,John,Doe,Male,22,NID001529,"Huye, Southern",Repeat offender,"{""facial_features"": {""eye_distance"": 57.71, ""nose_width"": 41.17}, ""fingerprint_hash"": ""fp_107882""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00531,John,Smith,Male,32,NID001530,"Musanze, Northern",Gang activity,"{""facial_features"": {""eye_distance"": 68.04, ""nose_width"": 41.72}, ""fingerprint_hash"": ""fp_640364""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00532,John,Garcia,Male,23,NID001531,"Rwamagana, Eastern",Repeat offender,"{""facial_features"": {""eye_distance"": 62.23, ""nose_width"": 38.89}, ""fingerprint_hash"": ""fp_704716""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00533,Chris,Garcia,Male,27,NID001532,"Nyarugenge, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 62.4, ""nose_width"": 41.5}, ""fingerprint_hash"": ""fp_399954""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00534,Jane,Brown,Female,49,NID001533,"Gasabo, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 55.4, ""nose_width"": 31.62}, ""fingerprint_hash"": ""fp_103847""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00535,Pat,Brown,Male,40,NID001534,"Rwamagana, Eastern",Gang activity,"{""facial_features"": {""eye_distance"": 63.06, ""nose_width"": 41.39}, ""fingerprint_hash"": ""fp_238528""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00536,Chris,Brown,Male,34,NID001535,"Gasabo, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 58.1, ""nose_width"": 32.65}, ""fingerprint_hash"": ""fp_760614""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00537,Jane,Smith,Female,37,NID001536,"Kicukiro, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 68.05, ""nose_width"": 41.67}, ""fingerprint_hash"": ""fp_128536""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00538,Jane,Doe,Male,58,NID001537,"Huye, Southern",Gang activity,"{""facial_features"": {""eye_distance"": 63.32, ""nose_width"": 43.79}, ""fingerprint_hash"": ""fp_608930""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00539,Chris,Garcia,Female,32,NID001538,"Rubavu, Western",First time offense,"{""facial_features"": {""eye_distance"": 63.22, ""nose_width"": 38.59}, ""fingerprint_hash"": ""fp_727427""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00540,Chris,Garcia,Female,39,NID001539,"Nyarugenge, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 60.41, ""nose_width"": 37.9}, ""fingerprint_hash"": ""fp_883969""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00541,Jane,Doe,Female,23,NID001540,"Nyanza, Southern",Gang activity,"{""facial_features"": {""eye_distance"": 66.42, ""nose_width"": 32.66}, ""fingerprint_hash"": ""fp_453178""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00542,Jane,Garcia,Female,21,NID001541,"Rwamagana, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 64.51, ""nose_width"": 32.67}, ""fingerprint_hash"": ""fp_464488""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
